"State","Turnout_Rate","Primary_Date","Number_of_Congressional_Districts","Democratic_Contested","Republican_Contested","Democratic_Uncontested","Republican_Uncontested"
"Massachusetts",25.8935663224782,"September 9",9,2,1,7,2
"Michigan",20.350535540409,"August 5",14,5,8,9,6
"Minnesota",13.5989605889996,"August 12",8,1,2,2,1
"Missouri",35.1206434316354,"August 5",8,4,6,3,1
"New Hampshire",30.3534303534304,"September 9",2,0,2,0,0
"Tennessee",40.6834825061025,"August 7",9,3,8,5,1
"Wisconsin",21.2671905697446,"August 12",8,3,5,0,0
